ind,sex,age_sim,lv_educ,empl_stat,marit_stat,house_memb,chil_u_18_y,nation,religion,soc_econ_stat,prof_ind,prof_stat,count_house,own_field,num_car_house,own_rent_house,edu,temperam,ind_risk_sim,invest_exp_sim,shares,corp_oblig,oth,inv_fund,cash,crypto,gov_bond,deposits,income_sim,pers_exp_sim,house_exp_sim,taxes_sim,transp_telecom_sim,hobby_sim,banking,bk_oprat,bk_dc,bk_cc,bk_acc,ins_prop,ins_life,ins_casco,health_ins,overdraft,cons_cred,mortgage,car_leas,pens_ins,.,lv_educ,empl_stat,marit_stat,house_memb,chil_u_18_y,nation,religion,soc_econ_stat,prof_ind,prof_stat,count_house,own_field,num_car_house,own_rent_house,edu,temperam,ind_risk_sim,invest_exp_sim,shares,corp_oblig,oth,inv_fund,cash,crypto,gov_bond,deposits,income_sim,pers_exp_sim,house_exp_sim,taxes_sim,transp_telecom_sim,hobby_sim,banking,bk_oprat,bk_dc,bk_cc,bk_acc,ins_prop,ins_life,ins_casco,health_ins,overdraft,cons_cred,mortgage,car_leas,pens_ins,,total
10031,1,57,4,4,1,1,4,1,3,0,7,6,1,0,1,1,3,4,0.50,0,0,0,0,0,0,0,0,1,5303,4415,563,417,619,949,0,2,1,0,1,0,0,0,0,0,1,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10032,1,68,4,3,2,1,0,1,3,0,8,5,1,0,2,0,3,4,0.75,0,0,0,0,0,0,0,0,1,8412,4910,1248,819,1470,502,0,4,1,0,1,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10033,1,75,3,3,2,3,1,1,3,0,5,6,0,0,0,1,3,4,0.89,0,0,0,0,0,0,0,0,1,18709,5089,2615,1557,1748,981,0,4,1,1,1,0,0,0,0,0,1,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10034,1,51,3,3,4,2,0,1,3,1,2,5,1,0,1,0,7,1,0.47,5,0,0,0,0,0,0,1,1,5771,4195,79,150,795,660,0,3,1,0,1,0,0,0,0,1,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,,1
10035,1,69,3,3,1,1,0,1,3,1,11,5,1,0,1,1,7,1,0.79,3,0,0,0,0,0,0,0,1,19218,5564,3864,2154,2422,562,0,4,1,1,1,0,0,0,0,0,0,1,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,,1
10036,2,22,2,1,2,2,1,1,3,1,2,2,1,1,0,1,3,3,0.25,6,0,0,0,0,0,0,0,1,7753,4551,823,615,1151,980,0,4,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10037,1,77,3,3,2,4,0,1,3,1,12,2,1,0,1,1,5,1,0.80,0,0,0,0,0,0,0,0,1,10427,4831,720,854,1107,550,1,4,2,0,1,0,0,1,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10038,1,54,3,4,1,2,1,1,3,0,2,2,0,0,0,1,6,3,0.70,0,0,0,0,0,0,0,0,1,21778,5071,1823,1990,1968,858,0,4,2,0,1,0,0,0,0,0,0,0,0,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,1
10039,1,51,4,3,2,2,1,1,3,0,5,2,1,0,0,1,3,3,0.58,0,0,0,0,0,0,0,0,1,21140,5473,2656,1773,1937,644,0,5,1,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10040,2,30,4,5,1,2,1,1,7,1,4,6,0,0,1,1,3,1,0.58,0,0,0,0,0,0,0,0,1,9186,4882,1209,642,1497,823,0,2,2,0,1,0,0,0,0,0,0,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10041,1,39,2,3,2,3,0,1,4,0,12,2,1,0,0,1,2,4,0.70,0,0,0,0,1,0,0,0,1,28464,5273,2591,1914,1675,641,0,3,1,0,1,0,0,0,0,0,1,0,0,1,,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,0
10042,1,54,5,4,4,2,0,1,3,1,7,6,1,1,1,1,5,4,0.55,0,0,0,0,0,0,0,0,1,11527,4711,1354,660,1136,930,0,2,2,0,1,0,1,0,0,0,0,0,1,0,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10043,1,69,3,3,2,1,0,1,3,0,10,1,1,1,0,1,8,3,0.70,0,0,0,0,0,0,0,0,1,5247,4162,369,85,594,99,0,2,1,1,1,0,0,0,0,0,1,0,0,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,1
10044,2,66,2,3,1,2,0,1,3,0,12,2,0,0,0,1,3,4,0.47,0,0,0,0,0,0,0,0,0,16599,5025,2305,1334,1639,728,0,3,1,0,1,0,0,0,0,0,0,0,1,1,,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,0
10045,1,77,4,3,1,2,0,1,3,1,5,5,1,0,0,1,6,1,0.36,3,0,0,0,0,1,0,0,1,10108,4726,815,818,1257,509,0,4,1,0,1,0,0,0,0,0,0,0,1,0,,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10046,2,75,5,3,2,2,0,1,3,0,5,1,2,0,1,1,2,1,0.55,3,0,0,0,0,0,0,0,1,17181,5214,2757,1214,1960,553,1,4,1,0,1,0,0,0,0,1,0,0,0,0,,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10047,1,66,3,4,4,2,0,1,4,1,10,5,1,0,0,1,5,2,0.45,0,0,0,0,0,0,0,0,1,5207,4414,530,233,814,431,0,3,2,0,1,0,0,0,0,0,0,1,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10048,2,59,4,4,2,2,1,1,3,1,9,2,0,0,0,1,3,1,0.47,2,0,0,0,0,0,0,0,1,8642,4953,1495,956,1277,798,1,4,3,1,0,0,0,0,0,0,0,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,,1
10049,1,54,1,3,1,3,0,1,3,0,2,2,0,0,1,1,2,3,0.44,0,0,0,0,0,0,0,0,1,5590,4348,369,17,904,790,0,3,1,0,1,0,0,0,0,0,0,0,0,1,,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,0
10050,2,56,2,3,4,4,1,1,3,0,2,2,1,0,0,1,3,4,0.33,0,0,0,0,0,0,0,0,1,6687,4679,856,648,1455,807,0,3,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10051,1,71,1,3,2,4,0,1,3,0,1,2,1,1,1,0,3,4,0.66,0,0,0,0,0,0,0,0,1,5658,4396,280,427,632,969,0,3,1,0,1,0,0,0,0,1,1,0,0,0,,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10052,1,39,4,3,1,1,0,1,3,1,11,6,0,0,1,1,3,1,0.46,0,0,0,0,0,0,0,0,1,21330,5802,3302,2043,2280,525,0,2,1,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10053,1,82,5,3,2,2,1,1,3,0,3,6,0,0,0,1,3,3,0.38,9,0,0,0,0,0,0,0,1,5558,4497,198,368,791,712,0,3,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10054,2,45,4,3,2,2,3,1,3,0,11,1,0,1,1,1,4,4,0.57,0,0,0,0,0,0,0,0,1,5831,4200,477,386,504,283,0,3,2,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10055,2,61,2,4,1,2,2,1,3,1,2,6,0,1,1,1,1,4,0.58,0,0,0,0,0,0,0,0,1,19710,5077,2012,1077,1711,649,0,4,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10056,2,40,4,3,1,1,0,1,3,0,9,5,1,0,1,1,5,2,0.54,0,0,0,0,0,0,0,0,1,6141,4028,424,465,592,368,0,3,1,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10057,1,30,5,4,2,4,0,1,3,0,11,2,1,0,1,1,3,1,0.49,1,0,0,0,0,0,0,0,1,9780,4962,728,821,1312,943,0,2,2,0,1,0,0,0,1,0,0,0,0,0,,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10058,1,28,5,3,4,5,0,1,3,1,11,3,0,0,0,1,3,3,0.44,15,0,0,0,0,0,0,0,1,9294,4866,916,947,1154,620,0,3,1,0,0,0,0,0,0,0,0,0,0,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,,1
10059,1,39,1,3,3,4,0,1,3,1,11,2,0,0,0,1,5,4,0.66,2,0,0,0,0,0,0,0,1,24051,5274,1557,1182,1878,978,0,3,1,0,1,0,0,1,0,1,0,1,0,0,,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0
10060,1,69,4,4,2,2,0,1,3,1,5,2,1,0,1,1,3,1,0.70,0,0,0,0,0,0,0,0,1,16383,5125,2585,1252,1964,677,0,2,1,1,1,0,0,0,0,1,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,,1
10061,1,67,4,3,2,2,1,1,4,1,2,2,1,0,0,1,3,4,0.53,5,0,0,0,0,0,0,0,1,10889,4536,860,805,1326,527,0,3,1,0,0,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,1
10062,2,27,4,3,1,2,0,1,3,0,9,1,1,0,0,1,4,1,0.69,4,0,0,0,0,0,0,0,1,6485,4930,899,914,1167,733,0,3,1,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10063,2,54,4,3,2,5,1,1,3,1,9,2,0,0,0,1,7,1,0.60,0,0,0,0,0,0,0,0,1,9155,4920,1452,762,1187,978,0,4,1,0,1,0,1,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
10064,1,45,4,3,1,2,0,1,3,1,1,2,0,0,0,1,3,1,0.69,6,0,0,0,0,1,0,1,0,9386,4930,1420,693,1398,630,0,2,2,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
