sex,age_sim,lv_educ,empl_stat,marit_stat,house_memb,chil_u_18_y,nation,religion,soc_econ_stat,prof_ind,prof_stat,count_house,own_field,num_car_house,own_rent_house,edu,temperam,ind_risk_sim,invest_exp_sim,shares,corp_oblig,oth,inv_fund,cash,crypto,gov_bond,deposits,income_sim,pers_exp_sim,house_exp_sim,taxes_sim,transp_telecom_sim,hobby_sim,banking,bk_oprat,bk_dc,bk_cc,bk_acc,ins_prop,ins_life,ins_casco,health_ins,overdraft,cons_cred,mortgage,car_leas,pens_ins
1,50,4,3,2,2,1,1,3,0,4,2,1,0,0,0,3,3,0.33657178,0,0,0,0,0,0,0,0,1,18260,4686,472,649,1216,303,0,3,0,0,1,0,0,0,0,0,0,0,0,0
1,43,3,3,2,2,1,1,2,0,3,3,0,0,0,0,3,2,0.31882468,1,0,0,0,0,0,0,0,0,16023,4460,443,669,998,279,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,49,3,4,2,1,1,1,3,0,3,2,1,0,0,0,4,3,0.44706294,0,0,0,0,0,0,0,0,1,23273,4737,372,628,1409,234,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,1,2,0,2,2,0,4,4,1,0,1,1,4,3,0.396538,0,0,0,0,0,0,0,0,1,24325,4308,648,811,859,332,0,4,0,0,1,0,0,0,0,1,0,0,0,0
1,37,4,2,1,2,1,1,3,0,4,3,1,0,1,1,3,2,0.4085496,2,0,0,0,0,0,0,0,0,15129,4430,462,747,913,291,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,43,4,3,1,2,2,2,4,1,7,3,1,0,1,1,4,3,0.724631,0,0,0,0,0,0,0,0,1,21987,4666,729,953,1306,434,0,4,1,0,1,0,0,0,0,1,0,0,0,0
1,41,4,3,1,2,1,1,3,0,4,3,1,0,1,1,3,2,0.44793692,0,0,0,0,0,0,0,0,0,16548,4409,390,725,954,330,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,4,3,1,2,1,1,3,0,3,3,0,0,1,1,3,2,0.35561907,2,0,0,0,0,0,0,0,0,13366,4357,541,757,951,314,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,47,3,3,2,2,1,1,2,0,3,2,1,0,0,0,3,2,0.36873055,0,0,0,0,0,0,0,0,1,20275,4583,317,738,1169,262,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,45,3,3,2,2,1,1,2,0,4,2,0,0,0,0,3,2,0.34903726,0,0,0,0,0,0,0,0,1,16704,4545,455,593,1075,309,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,1,2,1,1,3,0,4,3,1,0,1,1,4,2,0.5015891,2,0,0,0,0,0,0,0,1,14266,4437,589,980,1014,375,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,58,4,4,2,2,1,2,3,0,4,2,1,0,0,0,4,3,0.43336752,0,0,0,0,0,0,0,0,1,24340,4789,481,759,1452,292,0,3,0,0,1,0,0,0,0,0,0,0,0,0
1,43,4,3,1,2,0,1,2,0,4,4,0,0,1,1,4,2,0.34473792,1,0,0,0,0,0,0,0,0,24493,4176,349,792,757,256,0,3,0,0,1,0,0,0,0,1,0,0,0,0
1,41,4,3,1,2,1,1,3,0,3,3,1,0,0,0,3,2,0.37951416,1,0,0,0,0,0,0,0,0,15186,4397,362,666,949,309,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,38,4,2,1,2,1,1,3,0,3,3,1,0,0,0,3,2,0.33313715,1,0,0,0,0,0,0,0,0,14044,4398,361,666,885,301,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,2,2,1,1,3,0,4,3,0,0,1,1,3,2,0.34556925,1,0,0,0,0,0,0,0,0,15567,4350,487,745,885,285,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,1,2,1,1,3,0,4,3,1,0,1,1,4,2,0.42660248,1,0,0,0,0,0,0,0,1,16007,4386,713,965,1045,355,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,3,3,1,2,1,1,2,0,3,3,0,0,0,0,3,2,0.31250194,0,0,0,0,0,0,0,0,0,16679,4334,426,609,904,298,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,75,3,5,3,1,2,2,3,0,4,1,1,0,0,0,4,4,0.5049009,0,0,0,0,0,0,0,0,1,32670,5326,568,686,1897,326,0,3,1,0,1,0,0,0,0,1,1,0,0,0
2,42,4,3,1,2,2,1,3,0,6,3,1,0,0,1,4,3,0.59002084,0,0,0,0,0,0,0,0,1,22768,4697,603,830,1196,345,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,52,4,3,2,2,1,2,2,0,3,2,1,0,0,0,4,3,0.41132367,0,0,0,0,0,0,0,0,1,23773,4747,233,738,1266,279,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,44,4,3,2,2,1,1,3,0,4,3,1,0,1,1,4,3,0.44695598,0,0,0,0,0,0,0,0,1,18962,4528,714,857,1146,372,0,3,1,0,1,0,0,0,0,1,0,0,0,0
2,51,4,3,2,1,1,2,3,0,3,2,1,0,1,0,4,3,0.44040382,0,0,0,0,0,0,0,0,1,23532,4620,242,840,1163,252,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,38,4,3,1,2,0,1,2,0,4,3,0,0,1,1,4,2,0.41358957,1,0,0,0,0,0,0,0,0,24665,4382,430,786,926,295,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,47,3,2,1,1,0,1,2,0,2,4,0,0,1,1,3,2,0.30633175,1,0,0,0,0,0,0,0,0,26491,4010,1,814,806,276,0,3,0,0,1,0,0,0,0,1,0,0,0,0
1,41,3,2,1,1,0,1,2,0,3,3,0,0,1,0,3,2,0.2714505,1,0,0,0,0,0,0,0,0,17355,4204,229,716,781,238,0,3,0,0,1,0,0,0,0,0,0,0,0,0
1,47,4,3,2,1,1,1,3,0,3,3,0,0,1,1,4,3,0.33472273,1,0,0,0,0,0,0,0,0,16615,4340,260,936,917,220,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,44,4,3,2,2,1,1,3,0,6,4,1,0,1,1,4,3,0.4548932,2,0,0,0,0,0,0,0,1,15979,4373,842,1109,887,353,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,3,3,1,2,1,1,2,0,3,3,0,0,0,1,3,2,0.30555272,0,0,0,0,0,0,0,0,0,16270,4322,516,639,878,316,0,3,0,0,1,0,0,0,0,0,0,0,0,0
2,44,4,3,1,2,1,2,3,0,4,4,1,0,1,1,4,3,0.6048449,2,0,0,0,0,0,0,0,1,24591,4509,372,1053,996,357,0,4,1,0,1,0,0,0,0,1,0,0,0,0
1,40,4,3,1,2,1,1,3,0,5,4,1,0,1,1,3,3,0.4401531,1,0,0,0,0,0,0,0,1,17837,4487,520,774,825,392,0,4,1,0,1,0,0,0,0,0,0,0,0,0
1,41,3,3,1,1,1,1,2,0,3,3,0,0,0,0,3,2,0.31856212,1,0,0,0,0,0,0,0,0,15928,4309,378,620,853,303,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,37,4,2,1,2,1,1,3,0,4,3,0,0,1,0,3,2,0.3651084,1,0,0,0,0,0,0,0,0,13525,4417,411,670,946,318,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,3,3,1,1,0,1,3,0,4,3,0,0,0,0,3,2,0.3752209,0,0,0,0,0,0,0,0,0,18976,4412,479,716,1038,296,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,1,2,1,2,3,0,5,4,1,0,1,1,4,3,0.46813947,2,0,0,0,0,0,0,0,1,21297,4349,434,821,825,352,0,3,1,0,1,0,0,0,0,1,0,0,0,0
1,40,4,3,1,2,1,1,3,0,4,3,1,0,1,1,3,2,0.4208406,0,0,0,0,0,0,0,0,1,17924,4405,404,807,884,309,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,48,4,3,2,2,1,2,3,1,4,4,1,0,1,1,5,3,0.5866329,2,0,0,0,0,0,0,0,1,16298,4460,528,1326,1144,285,0,4,1,0,1,0,0,0,0,1,0,0,0,0
1,40,4,3,2,2,1,1,3,0,5,4,1,0,1,1,4,3,0.48170853,1,0,0,0,0,0,0,0,1,16816,4374,788,1130,990,356,0,3,1,0,1,0,0,0,0,1,0,0,0,0
2,63,3,5,2,1,1,2,3,0,4,2,1,0,0,0,4,4,0.4821037,0,0,0,0,0,0,0,0,1,28663,4986,603,739,1691,308,0,3,0,0,1,0,0,0,0,1,0,0,0,0
1,37,4,2,1,2,1,1,2,0,4,3,0,0,0,1,3,2,0.40407267,1,0,0,0,0,0,0,0,0,14235,4424,483,670,893,292,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,39,3,2,1,2,1,1,2,0,4,3,0,0,0,0,3,2,0.37457868,1,0,0,0,0,0,0,0,0,19200,4338,290,740,880,272,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,4,2,1,1,0,1,2,0,3,3,0,0,1,1,3,2,0.33549112,1,0,0,0,0,0,0,0,0,26868,4139,195,840,749,196,0,3,0,0,1,0,0,0,0,0,0,0,0,0
1,41,4,3,1,1,0,1,2,0,3,3,1,0,1,1,3,2,0.389123,0,0,0,0,0,0,0,0,0,27491,4284,266,786,828,235,0,4,0,0,1,0,0,0,0,0,0,0,0,0
2,48,4,3,2,2,1,1,3,0,4,3,0,0,0,0,3,3,0.38967466,0,0,0,0,0,0,0,0,1,11999,4469,606,660,1122,488,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,43,3,3,2,2,1,1,2,0,3,3,1,0,1,1,4,3,0.38871104,0,0,0,0,0,0,0,0,1,22283,4357,633,728,999,328,0,3,0,0,1,0,0,0,0,0,0,0,0,0
2,50,4,3,2,2,1,1,3,0,4,2,1,0,1,1,4,3,0.50681335,1,0,0,0,0,0,0,0,1,17287,4764,535,943,1325,290,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,4,3,2,2,1,1,3,0,4,4,0,0,1,1,3,2,0.3678741,1,0,0,0,0,0,0,0,0,17447,4281,461,771,817,300,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,1,2,1,1,3,0,5,3,1,0,1,1,4,3,0.56433517,1,0,0,0,0,0,0,0,1,23540,4504,590,816,1069,381,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,68,3,5,2,1,1,2,3,0,4,1,1,0,0,0,3,4,0.44260174,0,0,0,0,0,0,0,0,1,28531,5149,501,750,1942,246,0,3,0,0,1,0,0,0,0,1,1,0,0,0
2,53,3,4,2,1,1,2,3,0,4,3,1,0,0,0,4,3,0.4957546,0,0,0,0,0,0,0,0,1,20294,4770,534,676,1437,372,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,4,3,1,2,1,1,3,0,4,3,1,0,1,1,4,2,0.5007056,1,0,0,0,0,0,0,0,1,15769,4534,607,913,1111,324,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,39,4,3,1,2,1,1,3,0,4,3,1,0,1,1,4,2,0.44971424,1,0,0,0,0,0,0,0,0,19330,4426,396,812,963,286,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,50,4,3,2,1,1,1,2,0,3,2,1,0,0,0,4,3,0.46531656,0,0,0,0,0,0,0,0,1,27377,4763,163,649,1199,251,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,39,4,3,1,1,0,1,2,0,4,4,1,0,1,1,5,2,0.57677245,2,0,0,0,0,0,0,0,1,32992,4466,195,875,925,241,0,4,1,0,1,0,0,0,0,1,0,0,0,0
1,40,4,3,2,2,1,1,3,0,4,3,1,0,1,1,3,2,0.35187736,1,0,0,0,0,0,0,0,1,13920,4362,498,690,875,323,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,49,4,3,2,2,0,2,3,0,4,4,1,0,1,1,4,3,0.45523676,0,0,0,0,0,0,0,0,1,27530,4319,865,1205,889,397,0,4,0,1,1,0,0,0,0,1,0,0,0,0
2,64,3,5,2,1,1,2,3,0,3,1,1,0,0,0,4,4,0.46415424,0,0,0,0,0,0,0,0,1,27813,5101,714,655,1878,316,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,39,4,2,1,2,1,1,2,0,3,3,0,0,0,0,3,2,0.35108396,1,0,0,0,0,0,0,0,0,17605,4324,296,662,897,278,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,43,4,3,2,1,1,1,3,0,3,3,0,0,1,1,3,2,0.31371766,1,0,0,0,0,0,0,0,0,14593,4235,410,802,852,289,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,70,3,5,2,1,2,2,3,0,3,1,1,0,0,0,4,4,0.5712459,0,0,0,0,0,0,0,0,1,38912,5285,525,700,1996,273,0,4,1,0,1,0,0,0,0,1,1,0,0,0
2,53,3,3,2,2,1,1,2,0,3,2,1,0,0,0,3,3,0.3564025,0,0,0,0,0,0,0,0,1,22741,4757,306,690,1295,267,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,49,4,3,2,2,1,1,3,0,4,3,1,0,0,1,4,3,0.49603415,1,0,0,0,0,0,0,0,1,17513,4697,591,909,1326,311,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,4,3,1,2,1,1,3,0,4,3,1,0,1,1,4,2,0.419302,1,0,0,0,0,0,0,0,1,15423,4534,699,710,1068,348,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,47,4,4,1,2,1,2,3,0,4,4,1,0,1,1,4,3,0.4623408,0,0,0,0,0,0,0,0,1,25698,4514,557,649,1046,345,0,4,1,0,1,0,0,0,0,1,0,0,0,0
2,56,3,3,2,2,1,1,2,0,3,2,1,0,0,0,3,3,0.35667935,0,0,0,0,0,0,0,0,1,21202,4858,308,706,1383,256,0,2,1,0,1,0,0,0,0,0,0,0,0,0
1,44,3,2,1,1,0,1,2,0,3,4,0,0,1,1,4,2,0.26420677,1,0,0,0,0,0,0,0,0,25914,4000,112,896,785,214,0,4,0,0,1,0,0,0,0,1,0,0,0,0
1,42,4,3,1,2,1,1,3,0,5,4,1,0,1,1,3,2,0.41378126,2,0,0,0,0,0,0,0,1,19106,4447,259,696,1018,380,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,4,3,1,2,0,2,3,0,4,3,1,0,1,1,4,3,0.3997908,0,0,0,0,0,0,0,0,1,23346,4309,754,905,906,341,0,3,0,0,1,0,0,0,0,1,0,0,0,0
2,48,4,4,2,2,2,1,3,0,5,3,1,0,0,1,4,3,0.57149917,0,0,0,0,0,0,0,0,1,18718,4598,547,771,1289,400,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,43,3,3,2,1,0,1,2,0,3,4,0,0,1,1,3,2,0.27588525,1,0,0,0,0,0,0,0,0,16413,4185,516,866,753,320,0,3,0,0,1,0,0,0,0,0,0,0,0,0
1,40,3,3,1,2,1,1,2,0,3,3,0,0,0,0,3,2,0.3293278,1,0,0,0,0,0,0,0,0,15504,4362,395,624,916,308,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,4,3,1,2,0,1,3,0,4,4,1,0,1,1,5,3,0.5160303,1,0,0,0,0,0,0,0,0,33029,4386,346,1213,848,274,0,4,1,0,1,0,0,0,0,1,0,0,0,0
1,45,4,3,2,1,1,1,3,0,4,3,1,0,1,1,4,3,0.5174277,1,0,0,0,0,0,0,0,1,11967,4598,518,991,1154,293,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,4,2,1,2,1,1,3,0,3,3,1,0,1,0,3,2,0.3770615,1,0,0,0,0,0,0,0,0,15392,4374,337,731,961,275,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,40,3,3,1,2,1,1,3,0,4,3,1,0,0,0,4,2,0.43350905,1,0,0,0,0,0,0,0,0,16717,4443,342,808,1047,276,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,40,4,3,1,2,2,1,3,0,6,3,1,0,1,1,4,3,0.69345886,0,0,0,0,0,0,0,0,1,21334,4822,844,950,1348,394,0,4,1,0,1,0,0,0,0,0,0,0,0,0
1,44,4,3,2,1,1,1,3,0,4,3,1,0,1,1,3,2,0.43042663,1,0,0,0,0,0,0,0,1,16409,4449,344,634,1002,345,0,3,1,0,1,0,0,0,0,0,0,0,0,0
2,48,4,3,1,2,1,2,3,0,5,3,1,0,1,1,4,3,0.51476717,0,0,0,0,0,0,0,0,1,21884,4663,390,589,1128,345,0,4,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,4,2,2,1,2,3,1,6,4,1,0,1,1,5,3,0.66733855,0,0,0,0,0,0,0,0,1,25379,4670,928,1154,1130,459,0,4,1,0,1,0,0,0,0,1,0,0,0,0
2,48,4,3,2,2,1,1,3,0,5,3,1,0,0,1,3,3,0.4112901,0,0,0,0,0,0,0,0,1,14556,4572,733,596,1155,441,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,4,3,2,2,1,1,3,0,4,3,0,0,1,1,3,2,0.3464268,1,0,0,0,0,0,0,0,1,10431,4315,673,655,828,397,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,1,2,0,1,2,0,4,4,0,0,1,1,4,3,0.42783326,1,0,0,0,0,0,0,0,0,21450,4318,456,767,884,328,0,3,1,0,1,0,0,0,0,1,0,0,0,0
1,41,4,3,1,2,1,1,2,0,3,3,0,0,0,0,3,2,0.33082885,1,0,0,0,0,0,0,0,0,15621,4323,334,677,878,263,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,41,4,3,1,2,0,1,2,0,3,3,1,0,1,1,3,2,0.37183127,0,0,0,0,0,0,0,0,0,23465,4296,317,671,881,269,0,4,0,0,1,0,0,0,0,0,0,0,0,0
1,40,4,3,1,2,1,1,3,0,4,3,1,0,1,1,3,2,0.36971182,0,0,0,0,0,0,0,0,0,18624,4342,458,724,872,300,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,42,4,3,1,2,1,1,3,0,3,3,1,0,1,1,3,2,0.4309954,1,0,0,0,0,0,0,0,1,14179,4457,607,846,1038,332,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,39,4,2,1,2,0,1,2,0,3,3,0,0,0,1,3,2,0.3433143,1,0,0,0,0,0,0,0,0,17882,4309,374,728,897,301,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1,46,4,3,2,2,1,1,3,0,4,4,1,0,1,1,4,3,0.33667383,1,0,0,0,0,0,0,0,1,19626,4238,497,1007,823,292,0,3,1,0,1,0,0,0,0,1,0,0,0,0
